Name,Short Name,Location,Location ID,Color,Livery,Political Attributes,Team Bio,Rival,Pressure,Budget,Race Payment Offset,Marketability,Fan Base,Share of Fanbase,Driver HatStyle,Driver BodyStyle,Expectation - Constructors' ,Expectation - Driver 1,Expectation - Driver 2,Opinions - Manager,Opinions - Driver 1,Opinions - Driver 2,Team Start Description,Custom Start Description,Aggression
Scuderia Toriccini,Toriccini,Italy,PSG_10000966,95,47,Traditionalist,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",47,2,0.55,0.35,1,0.5,8,4,0,3,3,6,78,74,2,PSG_1060032,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.8
Tropica Racing Tech,Tropica,UnitedArabEmirates,PSG_10001068,96,44,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,46,2,0.55,0.4,1,0.25,7,1,1,5,8,11,18,66,31,PSG_1060033,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.6
Ukkonen Motorsport,Ukkonen,Finland,PSG_10000943,97,47,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",50,2,0.5,0.4,1,0.2,3,1,2,5,9,14,23,69,92,PSG_1060034,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.1
Verde Equipo Formula,Verde,Spain,PSG_10001048,98,38,Gimmicky,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,51,2,0.375,0.35,1,0.2,2,8,3,6,10,12,68,45,52,PSG_1060035,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.1
Wirleich-Bonniel Team,Wirleich,Germany,PSG_10000948,99,33,Traditionalist,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,48,2,0.2,0.3,1,0.15,1,2,7,7,10,15,100,68,40,PSG_1060036,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.4
Yujing Engineering Team,Yujing,China,PSG_10000920,100,15,Gimmicky,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",49,1,0.1,0.1,1,0.1,1,4,5,1,1,2,45,12,41,PSG_1060037,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.1
Zak Motorsport,Zak,UnitedStates,PSG_10001070,101,2,Gimmicky,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",49,1,0.1,0.1,1,0.1,1,4,5,1,1,2,45,12,41,PSG_1060038,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.1
Jack Forelli Racing,Jack,UnitedStates,PSG_10001070,102,67,Traditionalist,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,5,3,7,0.75,5,24,11,0,0,1,1,2,100,98,91,PSG_1060039,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,0.8
Agostino Corsa,Agostino,Italy,PSG_10000966,103,36,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",5,3,6,0.75,4,21,16,1,1,2,3,6,61,100,53,PSG_1060040,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.5
Asia Road Racing Team,Asia,Japan,PSG_10000969,104,6,Progressive,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,6,2,4.75,0.625,4,13,13,2,2,2,2,7,74,91,61,PSG_1060041,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.1
Belmondo Racing Group,Belmondo,France,PSG_10000944,105,39,Traditionalist,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,2,3,7.25,0.875,5,43,40,0,3,1,1,4,64,100,48,PSG_1060042,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,0.8
Beniquares MRT,Beniquares,Portugal,PSG_10001023,106,56,Traditionalist,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,3,3,6.75,0.75,5,28,8,4,7,3,3,6,4,89,84,PSG_1060043,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.5
Bennett Grand Prix,Bennett,UK,PSG_10001069,107,25,Egalitarian,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",8,2,6.25,0.625,3,8,5,5,5,5,8,11,61,71,91,PSG_1060044,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.1
Bernhauss Grand Prix Team,Bernhauss,Germany,PSG_10000948,108,38,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",7,2,6.5,0.625,4,5,3,6,6,5,9,14,96,67,43,PSG_1060045,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.5
Berthomb Formula Team,Berthomb,Germany,PSG_10000948,109,22,Gimmicky,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,8,2,5,0.375,3,12,2,7,7,6,10,12,42,18,87,PSG_1060046,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.8
Burcek Motorsport Team,Burcek,Turkey,PSG_10001063,110,36,Traditionalist,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",9,1,3,0.625,2,6,1,8,8,7,10,15,78,58,79,PSG_1060047,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.1
Caldwell Family Racing,Caldwell,UK,PSG_10001069,111,11,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,10,1,-1.5,0.5,2,2,1,9,9,10,19,20,54,84,37,PSG_1060048,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.5
Caltrex Motorsport Team,Caltres,Ireland,PSG_10000964,112,38,Traditionalist,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",13,3,3.25,0.45,2,4,18,10,10,1,1,2,50,10,26,PSG_1060049,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.4
Charlotte GTR,Charlotte,UnitedStates,PSG_10001070,113,28,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",14,3,4,0.4,2,3,21,0,0,2,3,6,27,64,46,PSG_1060050,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.8
Archetype Racing Club,Archetype,UK,PSG_10001069,114,44,Egalitarian,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,46,2,0.55,0.4,1,0.25,7,1,1,5,8,11,18,66,31,PSG_1060051,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.6
Bunnychan Rennsport,Bunnychan,Japan,PSG_10000969,115,47,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",50,2,0.5,0.4,1,0.2,3,1,2,5,9,14,23,69,92,PSG_1060052,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.1
Chameleon MRT,Chameleon,France,PSG_10000944,116,38,Gimmicky,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,51,2,0.375,0.35,1,0.2,2,8,3,6,10,12,68,45,52,PSG_1060053,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.1
Empress Autosport,Empress,France,PSG_10000944,117,33,Traditionalist,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,48,2,0.2,0.3,1,0.15,1,2,7,7,10,15,100,68,40,PSG_1060054,Young Team - Small teams who are very new to the sport. A small budget and a struggling team.,0.4
Gohei Racing Project,Gohei,Japan,PSG_10000969,118,15,Gimmicky,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",49,1,0.1,0.1,1,0.1,1,4,5,1,1,2,45,12,41,PSG_1060055,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.1
Moriya Speed Shrine,Moriya,Japan,PSG_10000969,119,2,Gimmicky,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",49,1,0.1,0.1,1,0.1,1,4,5,1,1,2,45,12,41,PSG_1060056,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.1
Motor Works Performance,MotorWorks,Belgium,PSG_10000899,120,67,Traditionalist,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,5,3,7,0.75,5,24,11,0,0,1,1,2,100,98,91,PSG_1060057,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,0.8
Scuderia Pergusa,Pergusa,Italy,PSG_10000966,121,36,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",5,3,6,0.75,4,21,16,1,1,2,3,6,61,100,53,PSG_1060058,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.5
Racing Heart,Heart,UnitedStates,PSG_10001070,122,6,Progressive,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,6,2,4.75,0.625,4,13,13,2,2,2,2,7,74,91,61,PSG_1060059,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.1
Scarlet Deviant Raceworks,Deviant,UK,PSG_10001069,123,39,Traditionalist,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,2,3,7.25,0.875,5,43,40,0,3,1,1,4,64,100,48,PSG_1060060,Motorsport Giants - Part of a large company and have been around a long time to build up a winning team and budget. More traditional thinking.,0.8
Steiner MRT,Steiner,Germany,PSG_10000948,124,56,Traditionalist,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,3,3,6.75,0.75,5,28,8,4,7,3,3,6,4,89,84,PSG_1060061,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.5
Steel Angel Autosport,SteelAngel,Canada,PSG_10000914,125,25,Egalitarian,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",8,2,6.25,0.625,3,8,5,5,5,5,8,11,61,71,91,PSG_1060062,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.1
Tsuchigami AJRT,Tsuchigami,Japan,PSG_10000969,126,38,Progressive,"Young Charger - Teams who are newer to the sport and more progressive,but look to have a strong future.",7,2,6.5,0.625,4,5,3,6,6,5,9,14,96,67,43,PSG_1060063,Young Charger - Teams who are newer to the sport and more progressive.but look to have a strong future.,0.5
Power House Yumi2,Yumi,Japan,PSG_10000969,127,22,Gimmicky,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,8,2,5,0.375,3,12,2,7,7,6,10,12,42,18,87,PSG_1060064,Strong Heritage - Private team focussed on Motorsport who have been fighting in WMC for a long time and built up good knowledge and a decent team even with financial struggles. Political view tend to swing based on current financial situation.,0.8
Tofask Racing Team,Tofask Racing Team,Turkey,PSG_10001063,128,36,Traditionalist,"Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances, staff changes, losign drivers) have fallen from the peak of competition or even down into the lower tiers.",9,1,3,0.625,2,6,1,8,8,7,10,15,78,58,79,PSG_1060065,Fallen Giant - A team who was once a great WMC but due to varying circumstances (Finances. staff changes. losign drivers) have fallen from the peak of competition or even down into the lower tiers.,0.1
